card name,question,answer
"","What does 'stops here' mean?","An avatar stops when there is no additional movement for that unit on the Storyline. A unit must first move to then stop."
"","Does Vaults of Zul trigger once per game, or once per game per avatar?","Once per game total. They took time to loot the vaults! (If two avatars somehow stop on the vaults simultaneously, they will both be tied for first, and will both loot the vaults.)"
"","What happens if my turn is skipped via Vaults of Zul and Courtesan Thaïs is affecting me?","If a turn is skipped then there's no actual turn, which means that part of Courtesan Thaïs's effect would wait for that player's next actual turn."
"Vesper Swarm","What does it mean to 'fly to' something? Does it have to be the shortest possible path or any valid path?","Refer to the article on ((Moving to a Specific Location Via a Special Ability or Magic)) to see how an ability like this works."
"Vindictive Nation","When moving sites around, does Vindictive Nation protect the nearby sites before or after the move?","Vindictive Nation protects the sites it was nearby before the move. For example:  I = Vindictive Nation R = Rubble A = Allied Site My opponent casts Earthquake and rearranges the two rightmost sites:  Even though site A moved and is now nearby Vindictive Nation, my opponent doesn't lose any life because A wasn't nearby Vindictive Nation before the move. Alternately, if we started from the second situation and Earthquake moved sites into the first situation, my opponent would lose 3 life because they moved a site that was nearby Vindictive Nation (even though the site ended up no longer nearby)."
"","If my Vindictive Nation is silenced by my opponent, e.g. Smokestacks of Gnaak, will my opponent lose life?","No, because Smokestacks silences them first. Vindictive Nation's ability is effectively a triggered ability, while Smokestacks are a passive ability that generates an ongoing effect. Ongoing effects are applied before triggered abilities can trigger."
"","Does this effect have time to resolve if the site itself is getting destroyed?","Yes! They are very vindictive."
"","Does 'modifying' a site include Flooding it?","Yes, since Flooded is an ability that gets added to the site."
"Vivien the Enchantress","What does 'wherever she is' mean?","Anywhere! The realm, your hand, and cemetery, and even while in the middle of your spellbook."
"","Since Avatars are Spellcasters, is Vivien a Spellcaster?","Not by default. Avatars don't have the printed ability 'Spellcaster,' so Vivien must gain the Spellcaster ability another way, e.g. a minion with the printed Spellcaster ability."
"","Can Vivien the Enchantress copy the abilities of another Vivien the Enchantress?","No."
"","What happens if Vivien uses the Druid's ability to summon Bruin and flip?","She summons Bruin and then flips. As a flipped card with nothing on the back, she has no game text and will effectively do nothing for the rest of the game. She is no longer a minion, has no card type or abilities, etc. The flipped card can exist in the void, and technically she could turn off Pristine Paradise, and would be destroyed by Roots of Yggdrasil."
"Wall of Air","Does this affect subsurface units?","No. (They are not atop the site.)"
"","What if this is animated by an Enchantress?","An animated Wall of Air can't move (unless it gains power), since it has a Wall of Air in its middle! If it gains power (or teleports) and manages to move, the Wall of Air applies between the two squares it occupies."
"","Does this affect the corners of the border? (e.g. Airborne units moving diagonally)","No. 'Border' means adjacent squares, not including diagonals."
"","How many squares does this aura occupy?","2"
"Wall of Fire","How many squares does this aura occupy?","2"
"","What does 'passes through' mean?","Moving through in any way, whether willingly or by force. For example, a unit moved by Grapple Shot or Pudge Butcher would take damage from the Wall of Fire. Note that a teleported unit doesn't pass through borders, and thus wouldn't be affected."
"","Does this affect Airborne units?","Yes. (They are atop the site.)"
"","Does this affect the corners of the border? (e.g. Airborne units moving diagonally)","No. 'Border' means adjacent squares, not including diagonals."
"","What if this is animated by an Enchantress?","It can move, but units are not passing through the Wall of Fire due to its own movement. After moving, its effect will apply between the two squares it occupies."
